# Content: proteins
# Copyright: 2022, Ecole Polytechnique Federale de Lausanne.
# License: Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)
# Version: Release 4 (07/30/2022)
uniprot_ac	uniprot_id	uniprot_description	organism	main_gene_name	gene_names	nber_palmitoyl_proteome_hits	nber_palmitoyl_proteome_sites	nber_palmitoyl_proteome_articles	nber_targeted_study_hits	nber_targeted_study_sites	nber_targeted_study_articles	nber_technique_categories	main_isoform_site_positions
P13746	1A11_HUMAN	HLA class I histocompatibility antigen, A-11 alpha chain (MHC class I antigen A*11)	Homo sapiens	HLA-A	HLAA,HLA-A	2	0	2	0	0	0	3	
P30447	1A23_HUMAN	HLA class I histocompatibility antigen, A-23 alpha chain (HLA class I histocompatibility antigen, A-9 alpha chain) (MHC class I antigen A*23)	Homo sapiens	HLA-A	HLAA,HLA-A	2	0	2	0	0	0	3	
P05534	1A24_HUMAN	HLA class I histocompatibility antigen, A-24 alpha chain (Aw-24) (HLA class I histocompatibility antigen, A-9 alpha chain) (MHC class I antigen A*24)	Homo sapiens	HLA-A	HLAA,HLA-A	4	0	3	0	0	0	3	
P18462	1A25_HUMAN	HLA class I histocompatibility antigen, A-25 alpha chain (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*25)	Homo sapiens	HLA-A	HLAA,HLA-A	2	0	2	0	0	0	2	
P30450	1A26_HUMAN	HLA class I histocompatibility antigen, A-26 alpha chain (MHC class I antigen A*26)	Homo sapiens	HLA-A	HLAA,HLA-A	1	0	1	0	0	0	1	
P30512	1A29_HUMAN	HLA class I histocompatibility antigen, A-29 alpha chain (Aw-19) (MHC class I antigen A*29)	Homo sapiens	HLA-A	HLAA,HLA-A	2	0	2	0	0	0	3	
P16188	1A30_HUMAN	HLA class I histocompatibility antigen, A-30 alpha chain (MHC class I antigen A*30)	Homo sapiens	HLA-A	HLAA,HLA-A	3	0	3	0	0	0	3	
P16189	1A31_HUMAN	HLA class I histocompatibility antigen, A-31 alpha chain (MHC class I antigen A*31)	Homo sapiens	HLA-A	HLAA,HLA-A	1	0	1	0	0	0	1	
P10314	1A32_HUMAN	HLA class I histocompatibility antigen, A-32 alpha chain (MHC class I antigen A*32)	Homo sapiens	HLA-A	HLAA,HLA-A	2	0	2	0	0	0	3	
P16190	1A33_HUMAN	HLA class I histocompatibility antigen, A-33 alpha chain (Aw-19) (Aw-33) (MHC class I antigen A*33)	Homo sapiens	HLA-A	HLAA,HLA-A	1	0	1	0	0	0	1	
P30453	1A34_HUMAN	HLA class I histocompatibility antigen, A-34 alpha chain (Aw-34) (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*34)	Homo sapiens	HLA-A	HLAA,HLA-A	3	0	3	0	0	0	3	
P30455	1A36_HUMAN	HLA class I histocompatibility antigen, A-36 alpha chain (Aw-36) (MHC class I antigen A*36)	Homo sapiens	HLA-A	HLAA,HLA-A	1	0	1	0	0	0	1	
P30456	1A43_HUMAN	HLA class I histocompatibility antigen, A-43 alpha chain (Aw-43) (MHC class I antigen A*43)	Homo sapiens	HLA-A	HLAA,HLA-A	1	0	1	0	0	0	1	
P30457	1A66_HUMAN	HLA class I histocompatibility antigen, A-66 alpha chain (Aw-66) (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*66)	Homo sapiens	HLA-A	HLAA,HLA-A	1	0	1	0	0	0	1	
P01891	1A68_HUMAN	HLA class I histocompatibility antigen, A-68 alpha chain (Aw-68) (HLA class I histocompatibility antigen, A-28 alpha chain) (MHC class I antigen A*68)	Homo sapiens	HLA-A	HLAA,HLA-A	1	0	1	0	0	0	1	
P10316	1A69_HUMAN	HLA class I histocompatibility antigen, A-69 alpha chain (Aw-69) (HLA class I histocompatibility antigen, A-28 alpha chain) (MHC class I antigen A*69)	Homo sapiens	HLA-A	HLAA,HLA-A	3	0	3	0	0	0	3	
P30459	1A74_HUMAN	HLA class I histocompatibility antigen, A-74 alpha chain (Aw-19) (Aw-74) (MHC class I antigen A*74)	Homo sapiens	HLA-A	HLAA,HLA-A	1	0	1	0	0	0	1	
Q09160	1A80_HUMAN	HLA class I histocompatibility antigen, A-80 alpha chain (Aw-80) (HLA class I histocompatibility antigen, A-1 alpha chain) (MHC class I antigen A*80)	Homo sapiens	HLA-A	HLAA,HLA-A	2	1	2	0	0	0	3	283
P01889	HLAB_HUMAN	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B, HLA-B)	Homo sapiens	HLA-B	HLAB,HLA-B	16	0	11	2	2	2	4	349,332
P30461	1B13_HUMAN	HLA class I histocompatibility antigen, B-13 alpha chain (MHC class I antigen B*13)	Homo sapiens	HLA-B	HLAB,HLA-B	3	0	2	0	0	0	2	
P30462	1B14_HUMAN	HLA class I histocompatibility antigen, B-14 alpha chain (MHC class I antigen B*14)	Homo sapiens	HLA-B	HLAB,HLA-B	2	1	2	0	0	0	3	125
P30464	1B15_HUMAN	HLA class I histocompatibility antigen, B-15 alpha chain (MHC class I antigen B*15)	Homo sapiens	HLA-B	HLAB,HLA-B	5	1	3	0	0	0	3	125
P30466	1B18_HUMAN	HLA class I histocompatibility antigen, B-18 alpha chain (MHC class I antigen B*18)	Homo sapiens	HLA-B	HLAB,HLA-B	3	1	3	0	0	0	3	125
P03989	1B27_HUMAN	HLA class I histocompatibility antigen, B-27 alpha chain (MHC class I antigen B*27)	Homo sapiens	HLA-B	HLAB,HLA-B	4	1	3	0	0	0	3	125
P30685	1B35_HUMAN	HLA class I histocompatibility antigen, B-35 alpha chain (MHC class I antigen B*35)	Homo sapiens	HLA-B	HLAB,HLA-B	2	0	2	0	0	0	2	
P18463	1B37_HUMAN	HLA class I histocompatibility antigen, B-37 alpha chain (MHC class I antigen B*37)	Homo sapiens	HLA-B	HLAB,HLA-B	2	0	2	0	0	0	2	
Q95365	1B38_HUMAN	HLA class I histocompatibility antigen, B-38 alpha chain (Bw-4) (MHC class I antigen B*38)	Homo sapiens	HLA-B	HLAB,HLA-B	3	1	3	0	0	0	3	125
P30475	1B39_HUMAN	HLA class I histocompatibility antigen, B-39 alpha chain (MHC class I antigen B*39)	Homo sapiens	HLA-B	HLAB,HLA-B	2	1	2	0	0	0	3	125
Q04826	1B40_HUMAN	HLA class I histocompatibility antigen, B-40 alpha chain (Bw-60) (MHC class I antigen B*40)	Homo sapiens	HLA-B	HLAB,HLA-B	3	0	3	0	0	0	3	
P30479	1B41_HUMAN	HLA class I histocompatibility antigen, B-41 alpha chain (Bw-41) (MHC class I antigen B*41)	Homo sapiens	HLA-B	HLAB,HLA-B	3	0	3	0	0	0	2	
P30480	1B42_HUMAN	HLA class I histocompatibility antigen, B-42 alpha chain (MHC class I antigen B*42)	Homo sapiens	HLA-B	HLAB,HLA-B	1	0	1	0	0	0	1	
P30481	1B44_HUMAN	HLA class I histocompatibility antigen, B-44 alpha chain (Bw-44) (MHC class I antigen B*44)	Homo sapiens	HLA-B	HLAB,HLA-B	6	1	4	0	0	0	3	125
P30483	1B45_HUMAN	HLA class I histocompatibility antigen, B-45 alpha chain (Bw-45) (MHC class I antigen B*45)	Homo sapiens	HLA-B	HLAB,HLA-B	3	0	3	0	0	0	2	
P30484	1B46_HUMAN	HLA class I histocompatibility antigen, B-46 alpha chain (Bw-46) (MHC class I antigen B*46)	Homo sapiens	HLA-B	HLAB,HLA-B	4	1	2	0	0	0	3	125
P30485	1B47_HUMAN	HLA class I histocompatibility antigen, B-47 alpha chain (Bw-47) (MHC class I antigen B*47)	Homo sapiens	HLA-B	HLAB,HLA-B	4	0	3	0	0	0	2	
P30486	1B48_HUMAN	HLA class I histocompatibility antigen, B-48 alpha chain (Bw-48) (MHC class I antigen B*48)	Homo sapiens	HLA-B	HLAB,HLA-B	2	0	2	0	0	0	2	
P30487	1B49_HUMAN	HLA class I histocompatibility antigen, B-49 alpha chain (HLA class I histocompatibility antigen, B-21 alpha chain) (MHC class I antigen B*49)	Homo sapiens	HLA-B	HLAB,HLA-B	4	0	3	0	0	0	2	
P30488	1B50_HUMAN	HLA class I histocompatibility antigen, B-50 alpha chain (Bw-50) (HLA class I histocompatibility antigen, B-21 alpha chain) (MHC class I antigen B*50)	Homo sapiens	HLA-B	HLAB,HLA-B	3	0	2	0	0	0	2	
P18464	1B51_HUMAN	HLA class I histocompatibility antigen, B-51 alpha chain (MHC class I antigen B*51)	Homo sapiens	HLA-B	HLAB,HLA-B	2	0	2	0	0	0	2	
P30490	1B52_HUMAN	HLA class I histocompatibility antigen, B-52 alpha chain (Bw-52) (HLA class I histocompatibility antigen, B-5 alpha chain) (MHC class I antigen B*52)	Homo sapiens	HLA-B	HLAB,HLA-B	1	0	1	0	0	0	1	
P30491	1B53_HUMAN	HLA class I histocompatibility antigen, B-53 alpha chain (Bw-53) (MHC class I antigen B*53)	Homo sapiens	HLA-B	HLAB,HLA-B	2	0	2	0	0	0	3	
P30492	1B54_HUMAN	HLA class I histocompatibility antigen, B-54 alpha chain (Bw-22) (Bw-54) (MHC class I antigen B*54)	Homo sapiens	HLA-B	HLAB,HLA-B	3	0	3	0	0	0	3	
P30493	1B55_HUMAN	HLA class I histocompatibility antigen, B-55 alpha chain (Bw-55) (HLA class I histocompatibility antigen, B-12 alpha chain) (MHC class I antigen B*55)	Homo sapiens	HLA-B	CDABP0067,HLAB,HLA-B	3	0	3	0	0	0	2	
P30495	1B56_HUMAN	HLA class I histocompatibility antigen, B-56 alpha chain (Bw-22) (Bw-56) (MHC class I antigen B*56)	Homo sapiens	HLA-B	HLAB,HLA-B	1	0	1	0	0	0	1	
P18465	1B57_HUMAN	HLA class I histocompatibility antigen, B-57 alpha chain (Bw-57) (MHC class I antigen B*57)	Homo sapiens	HLA-B	HLAB,HLA-B	4	1	3	0	0	0	3	125
P10319	1B58_HUMAN	HLA class I histocompatibility antigen, B-58 alpha chain (Bw-58) (MHC class I antigen B*58)	Homo sapiens	HLA-B	HLAB,HLA-B	2	0	2	0	0	0	2	
Q29940	1B59_HUMAN	HLA class I histocompatibility antigen, B-59 alpha chain (MHC class I antigen B*59)	Homo sapiens	HLA-B	HLAB,HLA-B	2	0	2	0	0	0	2	
Q29836	1B67_HUMAN	HLA class I histocompatibility antigen, B-67 alpha chain (MHC class I antigen B*67)	Homo sapiens	HLA-B	HLAB,HLA-B	2	1	2	0	0	0	3	125
Q31612	1B73_HUMAN	HLA class I histocompatibility antigen, B-73 alpha chain (MHC class I antigen B*73)	Homo sapiens	HLA-B	HLAB,HLA-B	3	0	3	0	0	0	3	
P30498	1B78_HUMAN	HLA class I histocompatibility antigen, B-78 alpha chain (MHC class I antigen B*78)	Homo sapiens	HLA-B	HLAB,HLA-B	1	0	1	0	0	0	1	
Q31610	1B81_HUMAN	HLA class I histocompatibility antigen, B-81 alpha chain (B'DT) (MHC class I antigen B*81)	Homo sapiens	HLA-B	HLAB,HLA-B	3	1	3	0	0	0	3	125
Q29718	1B82_HUMAN	HLA class I histocompatibility antigen, B-82 alpha chain (MHC class I antigen B*82)	Homo sapiens	HLA-B	HLAB,HLA-B	2	0	2	0	0	0	2	
P30499	1C01_HUMAN	HLA class I histocompatibility antigen, Cw-1 alpha chain (MHC class I antigen Cw*1)	Homo sapiens	HLA-C	HLAC,HLA-C	17	1	11	0	0	0	4	283
P30501	1C02_HUMAN	HLA class I histocompatibility antigen, Cw-2 alpha chain (MHC class I antigen Cw*2)	Homo sapiens	HLA-C	HLAC,HLA-C	5	1	4	0	0	0	4	283
P04222	1C03_HUMAN	HLA class I histocompatibility antigen, Cw-3 alpha chain (MHC class I antigen Cw*3)	Homo sapiens	HLA-C	HLAC,HLA-C	2	0	2	0	0	0	2	
P30504	1C04_HUMAN	HLA class I histocompatibility antigen, Cw-4 alpha chain (MHC class I antigen Cw*4)	Homo sapiens	HLA-C	HLAC,HLA-C	9	1	6	0	0	0	4	283
Q9TNN7	1C05_HUMAN	HLA class I histocompatibility antigen, Cw-5 alpha chain (MHC class I antigen Cw*5)	Homo sapiens	HLA-C	HLAC,HLA-C	3	1	2	0	0	0	3	283
Q29963	1C06_HUMAN	HLA class I histocompatibility antigen, Cw-6 alpha chain (MHC class I antigen Cw*6)	Homo sapiens	HLA-C	HLAC,HLA-C	4	1	3	0	0	0	3	283
P10321	HLAC_HUMAN	HLA class I histocompatibility antigen, C alpha chain, HLA-C (HLA-Cw) (Human leukocyte antigen C)	Homo sapiens	HLA-C	HLAC,HLA-C	6	0	5	0	0	0	3	
P30505	1C08_HUMAN	HLA class I histocompatibility antigen, Cw-8 alpha chain (MHC class I antigen Cw*8)	Homo sapiens	HLA-C	HLAC,HLA-C	3	1	2	0	0	0	3	283
P30508	1C12_HUMAN	HLA class I histocompatibility antigen, Cw-12 alpha chain (MHC class I antigen Cw*12)	Homo sapiens	HLA-C	HLAC,HLA-C	4	1	3	0	0	0	3	283
P30510	1C14_HUMAN	HLA class I histocompatibility antigen, Cw-14 alpha chain (MHC class I antigen Cw*14)	Homo sapiens	HLA-C	HLAC,HLA-C	4	1	3	0	0	0	3	283
Q07000	1C15_HUMAN	HLA class I histocompatibility antigen, Cw-15 alpha chain (MHC class I antigen Cw*15)	Homo sapiens	HLA-C	HLAC,HLA-C	4	1	3	0	0	0	3	283
Q29960	1C16_HUMAN	HLA class I histocompatibility antigen, Cw-16 alpha chain (MHC class I antigen Cw*16)	Homo sapiens	HLA-C	HLAC,HLA-C	7	2	4	0	0	0	3	283
Q95604	1C17_HUMAN	HLA class I histocompatibility antigen, Cw-17 alpha chain (MHC class I antigen Cw*17)	Homo sapiens	HLA-C	HLAC,HLA-JY3,D6S204,HLA-C	6	0	4	0	0	0	3	
Q29865	1C18_HUMAN	HLA class I histocompatibility antigen, Cw-18 alpha chain (MHC class I antigen Cw*18)	Homo sapiens	HLA-C	HLAC,HLA-C	3	1	2	0	0	0	3	283
Q13362	2A5G_HUMAN	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-gamma) (PP2A B subunit isoform PR61-gamma) (PP2A B subunit isoform R5-gamma) (Renal carcinoma antigen NY-REN-29)	Homo sapiens	PPP2R5C	KIAA0044,PPP2R5C	2	0	1	0	0	0	2	
P30153	2AAA_HUMAN	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)	Homo sapiens	PPP2R1A	PPP2R1A	12	2	9	0	0	0	4	390
P30154	2AAB_HUMAN	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (PP2A subunit A isoform PR65-beta) (PP2A subunit A isoform R1-beta)	Homo sapiens	PPP2R1B	PPP2R1B	5	2	1	0	0	0	3	402
P63151	2ABA_HUMAN	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)	Homo sapiens	PPP2R2A	PPP2R2A	2	0	2	0	0	0	2	
Q00005	2ABB_HUMAN	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform (PP2A subunit B isoform B55-beta) (PP2A subunit B isoform PR55-beta) (PP2A subunit B isoform R2-beta) (PP2A subunit B isoform beta)	Homo sapiens	PPP2R2B	PPP2R2B	3	0	1	0	0	0	2	
Q9GIY3	2B1E_HUMAN	HLA class II histocompatibility antigen, DRB1-14 beta chain (MHC class II antigen DRB1*14) (DR-14) (DR14)	Homo sapiens	HLA-DRB1	HLA-DRB1	0	0	0	1	0	1	3	
P01911	DRB1_HUMAN	HLA class II histocompatibility antigen, DRB1 beta chain (Human leukocyte antigen DRB1, HLA-DRB1)	Homo sapiens	HLA-DRB1	HLA-DRB2,HLA-DRB1	0	0	0	1	0	1	3	
P31937	3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial, HIBADH, EC 1.1.1.31	Homo sapiens	HIBADH	HIBADH	5	0	4	0	0	0	4	
P29372	3MG_HUMAN	DNA-3-methyladenine glycosylase, EC 3.2.2.21 (3-alkyladenine DNA glycosylase) (3-methyladenine DNA glycosidase) (ADPG) (N-methylpurine-DNA glycosylase)	Homo sapiens	MPG	MID1,ANPG,AAG,MPG	3	0	2	0	0	0	3	
P11171	EPB41_HUMAN	Protein 4.1, P4.1 (4.1R) (Band 4.1) (EPB4.1) (Erythrocyte membrane protein band 4.1)	Homo sapiens	EPB41	E41P,EPB41	1	0	1	0	0	0	2	
P08195	4F2_HUMAN	4F2 cell-surface antigen heavy chain, 4F2hc (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)	Homo sapiens	SLC3A2	MDU1,SLC3A2	21	1	8	0	0	0	5	431
P08908	5HT1A_HUMAN	5-hydroxytryptamine receptor 1A, 5-HT-1A, 5-HT1A (G-21) (Serotonin receptor 1A)	Homo sapiens	HTR1A	ADRBRL1,ADRB2RL1,HTR1A	0	0	0	7	0	1	3	
Q13639	5HT4R_HUMAN	5-hydroxytryptamine receptor 4, 5-HT-4, 5-HT4 (Serotonin receptor 4)	Homo sapiens	HTR4	HTR4	0	0	0	1	2	1	1	328,329
Q9H0P0	5NT3A_HUMAN	Cytosolic 5'-nucleotidase 3A, EC 3.1.3.5 (7-methylguanosine phosphate-specific 5'-nucleotidase, 7-methylguanosine nucleotidase, EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III, cN-III) (Pyrimidine 5'-nucleotidase 1, P5'N-1, P5N-1, PN-I) (Uridine 5'-monophosphate hydrolase 1) (p36)	Homo sapiens	NT5C3A	NT5C3A,HSPC233,UMPH1,P5N1,NT5C3	3	0	2	0	0	0	3	
P21589	5NTD_HUMAN	5'-nucleotidase, 5'-NT, EC 3.1.3.5 (Ecto-5'-nucleotidase) (CD antigen CD73)	Homo sapiens	NT5E	NTE,NT5,NT5E	4	0	3	0	0	0	3	
P52209	6PGD_HUMAN	6-phosphogluconate dehydrogenase, decarboxylating, EC 1.1.1.44	Homo sapiens	PGD	PGDH,PGD	9	0	6	0	0	0	4	
O95336	6PGL_HUMAN	6-phosphogluconolactonase, 6PGL, EC 3.1.1.31	Homo sapiens	PGLS	PGLS	4	0	2	0	0	0	4	
Q676U5	A16L1_HUMAN	Autophagy-related protein 16-1 (APG16-like 1)	Homo sapiens	ATG16L1	UNQ9393/PRO34307,APG16L,ATG16L1	1	0	1	0	0	0	1	
P01009	A1AT_HUMAN	Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT, SPAAT ]	Homo sapiens	SERPINA1	PRO2209,PRO0684,PI,AAT,SERPINA1	2	0	1	0	0	0	2	
P04217	A1BG_HUMAN	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	Homo sapiens	A1BG	A1BG	1	0	1	0	0	0	2	
P01023	A2MG_HUMAN	Alpha-2-macroglobulin, Alpha-2-M (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	Homo sapiens	A2M	FWP007,CPAMD5,A2M	1	3	1	0	0	0	3	1321,431,299
P05067	A4_HUMAN	Amyloid-beta precursor protein, APP (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide, CVAP) (PreA4) (Protease nexin-II, PN-II) [Cleaved into: N-APP; Soluble APP-alpha, S-APP-alpha; Soluble APP-beta, S-APP-beta; C99 (Beta-secretase C-terminal fragment, Beta-CTF); Amyloid-beta protein 42, Abeta42 (Beta-APP42); Amyloid-beta protein 40, Abeta40 (Beta-APP40); C83 (Alpha-secretase C-terminal fragment, Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59, AICD-59, AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57, AICD-57, AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50, AICD-50, AID(50)) (Gamma-CTF(50)); C31 ]	Homo sapiens	APP	AD1,A4,APP	4	0	2	4	2	1	5	186,187
P30542	AA1R_HUMAN	Adenosine receptor A1	Homo sapiens	ADORA1	ADORA1	0	0	0	2	1	1	3	309
Q9NRG9	AAAS_HUMAN	Aladin (Adracalin)	Homo sapiens	AAAS	GL003,ADRACALA,AAAS	5	0	3	0	0	0	3	
Q15758	AAAT_HUMAN	Neutral amino acid transporter B(0), ATB(0) (Baboon M7 virus receptor) (RD114/simian type D retrovirus receptor) (Sodium-dependent neutral amino acid transporter type 2) (Solute carrier family 1 member 5)	Homo sapiens	SLC1A5	RDRC,RDR,M7V1,ASCT2,SLC1A5	35	3	16	0	0	0	5	39,467
Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase, EC 6.2.1.16 (Acyl-CoA synthetase family member 1) (Protein sur-5 homolog)	Homo sapiens	AACS	ACSF1,AACS	1	0	1	0	0	0	2	
Q8N5Z0	AADAT_HUMAN	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial, KAT/AadAT (2-aminoadipate aminotransferase) (2-aminoadipate transaminase, EC 2.6.1.39) (Alpha-aminoadipate aminotransferase, AadAT) (Glycine transaminase AADAT, EC 2.6.1.4) (Kynurenine aminotransferase II) (Kynurenine--glyoxylate transaminase AADAT, EC 2.6.1.63) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2, EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II) (Methionine--glyoxylate transaminase AADAT, EC 2.6.1.73)	Homo sapiens	AADAT	KYAT2,KAT2,AADAT	1	0	1	0	0	0	2	
Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1, EC 2.7.11.1 (Adaptor-associated kinase 1)	Homo sapiens	AAK1	KIAA1048,AAK1,AP2M	1	0	1	0	0	0	1	
Q9UDR5	AASS_HUMAN	Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase, LKR, LOR, EC 1.5.1.8; Saccharopine dehydrogenase, SDH, EC 1.5.1.9 ]	Homo sapiens	AASS	AASS	1	0	1	0	0	0	2	
P17174	AATC_HUMAN	Aspartate aminotransferase, cytoplasmic, cAspAT, EC 2.6.1.1, EC 2.6.1.3 (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic, cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	Homo sapiens	GOT1	GOT1	1	0	1	0	0	0	2	
Q9NY61	AATF_HUMAN	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	Homo sapiens	AATF	HSPC277,DED,CHE1,AATF	1	0	1	0	0	0	2	
P00505	AATM_HUMAN	Aspartate aminotransferase, mitochondrial, mAspAT, EC 2.6.1.1, EC 2.6.1.7 (Fatty acid-binding protein, FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein, FABPpm) (Transaminase A)	Homo sapiens	GOT2	KYAT4,GOT2	11	0	8	0	0	0	5	
Q96GS6	AB17A_HUMAN	Alpha/beta hydrolase domain-containing protein 17A, Abhydrolase domain-containing protein 17A, EC 3.1.2.22	Homo sapiens	ABHD17A	FAM108A1,C19orf27,ABHD17A	8	0	5	0	0	0	4	
Q5VST6	AB17B_HUMAN	Alpha/beta hydrolase domain-containing protein 17B, Abhydrolase domain-containing protein 17B, EC 3.1.2.22	Homo sapiens	ABHD17B	FAM108B,CGI-67,FAM108B1,C9orf77,ABHD17B	20	2	12	1	0	1	4	210
Q6PCB6	AB17C_HUMAN	Alpha/beta hydrolase domain-containing protein 17C, Abhydrolase domain-containing protein 17C, EC 3.1.2.22	Homo sapiens	ABHD17C	FAM108C1,ABHD17C	5	0	3	0	0	0	4	
Q9UH17	ABC3B_HUMAN	DNA dC->dU-editing enzyme APOBEC-3B, A3B, EC 3.5.4.38 (Phorbolin-1-related protein) (Phorbolin-2/3)	Homo sapiens	APOBEC3B	APOBEC3B	1	0	1	0	0	0	2	
Q9NRW3	ABC3C_HUMAN	DNA dC->dU-editing enzyme APOBEC-3C, A3C, EC 3.5.4.38 (APOBEC1-like) (Phorbolin I)	Homo sapiens	APOBEC3C	PBI,APOBEC1L,APOBEC3C	2	0	1	0	0	0	2	
Q96AK3	ABC3D_HUMAN	DNA dC->dU-editing enzyme APOBEC-3D, A3D, A3DE, EC 3.5.4.38	Homo sapiens	APOBEC3D	APOBEC3DE,APOBEC3D	1	0	1	0	0	0	2	
Q9HC16	ABC3G_HUMAN	DNA dC->dU-editing enzyme APOBEC-3G, EC 3.5.4.38 (APOBEC-related cytidine deaminase, APOBEC-related protein, ARCD) (APOBEC-related protein 9, ARP-9) (CEM-15, CEM15) (Deoxycytidine deaminase, A3G)	Homo sapiens	APOBEC3G	MDS019,APOBEC3G	3	0	1	0	0	0	2	
